Activity_ID,Parent_ID,WBS,Discipline,Activity_Name,Description,Location,Asset_Tag,Planned_Quantity,Unit,Planned_Start,Planned_Finish,Status,Responsible_Role,Inspection_Hold_Point,Safety_Critical
PIP-PS3-SPO-015,WBS-PIP,1.02.03,Piping,Firewater Line Spool Placement,Underground carbon steel firewater ringmain spool installation,Pump Station 3,FW-SPO-015,80.0,m,2026-08-11,2026-08-15,Complete,Piping Supervisor,Holiday detection coating test,Yes
PIP-PS3-HYD-001,WBS-PIP,1.02.04,Piping,Hydrostatic Pressure Test Firewater Sector 1,Pressure test firewater loop sector 1 to 24 bar for 4 hours,Pump Station 3,FW-LOOP-01,1.0,test,2026-08-18,2026-08-19,Complete,QC Manager,Client pressure hold sign-off,Yes
PIP-PS3-VLV-005,WBS-PIP,1.02.05,Piping,12-inch Gate Valve Installation,"Rigging, gasket placement, and flange bolt torqueing for gate valves",Pump Station 3,VLV-12-005,8.0,ea,2026-08-19,2026-08-22,Ongoing,Piping Supervisor,Torque wrench calibration and tightening check,No
PIP-PS3-SPT-030,WBS-PIP,1.02.06,Piping,Pipe Support Secondary Steel Erection,"Fabrication, welding, and erection of secondary pipe support brackets",Pump Station 3,SPT-030,100.0,ea,2026-08-13,2026-08-21,Ongoing,Structural/Piping Supervisor,Support elevation and plumbness check,No
PIP-PS3-TIE-002,WBS-PIP,1.02.07,Piping,Tie-in Spool Fit-up Manifold M-01,Flange alignment and bolt-up for tie-in spool to existing manifold M-01,Manifold M-01,M-01,4.0,joints,2026-08-21,2026-08-22,Ongoing,Senior Piping Engineer,Flange parallelism and gap inspection,Yes
MECH-PS3-DWP-003,WBS-EQP,1.03.01,Static/Rotating Equipment,Dewatering Pump Relocation,Relocate submersible dewatering pump after water ingress,Pump Station 3,DWP-003,1.0,ea,2026-08-14,2026-08-14,Complete,Mechanical Supervisor,Pump discharge hose and electrical isolation check,No
EQP-PS3-PMP-101,WBS-EQP,1.03.02,Static/Rotating Equipment,Crude Pump P-101 Baseplate Grouting,Non-shrink epoxy grouting of baseplate for Crude Transfer Pump P-101,Pump Station 3,P-101,1.0,ea,2026-08-18,2026-08-20,Complete,Mechanical QC Inspector,Grout flowability and void tap test,No
EQP-PS3-PMP-102,WBS-EQP,1.03.03,Static/Rotating Equipment,Crude Pump P-102 Positioning & Alignment,"Rigging, leveling, and laser shaft alignment for Crude Transfer Pump P-102",Pump Station 3,P-102,1.0,ea,2026-08-19,2026-08-21,Complete,Millwright Specialist,Cold laser alignment tolerance (+/- 0.05 mm),Yes
EQP-PS3-TK-001,WBS-EQP,1.03.04,Static/Rotating Equipment,Sump Tank TK-01 Internal Inspection,"Confined space entry, cleaning, and internal nozzle inspection for TK-01",Sump Area,TK-01,1.0,ea,2026-08-12,2026-08-15,Complete,Mechanical Inspector,Internal vessel cleanliness and coating acceptance,Yes
EQP-PS3-SKD-002,WBS-EQP,1.03.05,Static/Rotating Equipment,Chemical Dosing Skid SK-02 Positioning,"Crane offloading, skid positioning, and anchor bolt torquing",Chemical Area,SK-02,1.0,ea,2026-08-15,2026-08-18,Complete,Mechanical Supervisor,Skid elevation and orientation sign-off,No
EQP-PS3-AIR-001,WBS-EQP,1.03.06,Static/Rotating Equipment,Air Receiver Vessel V-103 Erection,Vertical vessel crane erection and anchor tightening on foundation,Utility Bay,V-103,1.0,ea,2026-08-13,2026-08-15,Complete,Rigging Supervisor,Verticality plumb check and anchor bolt torque,Yes
EQP-PS3-GEN-001,WBS-EQP,1.03.07,Static/Rotating Equipment,Diesel Generator DG-01 Installation,Standby diesel generator DG-01 positioning on acoustic plinth,Generator Bay,DG-01,1.0,ea,2026-08-20,2026-08-22,Ongoing,Mechanical Lead,Vibration damper pad positioning check,No
ELE-PS3-CT-011,WBS-ELE,1.04.01,Electrical,Cable Trench Bedding at MCC-02,Place sieved sand bedding in electrical cable trench at MCC-02,MCC Building,MCC-02,160.0,m,2026-08-10,2026-08-16,Complete,Electrical Supervisor,Sand layer thickness 100mm verification,No
ELE-PS3-CT-012,WBS-ELE,1.04.02,Electrical,Cable Trench Bedding at MCC-01,Place sieved sand bedding in electrical cable trench at MCC-01,MCC Building,MCC-01,140.0,m,2026-08-11,2026-08-17,Complete,Electrical Supervisor,Sand layer thickness 100mm verification,No
ELE-PS3-CBL-001,WBS-ELE,1.04.03,Electrical,11kV Medium Voltage Cable Pulling,Pull 11kV 3C 300sqmm XLPE power cable from Substation to MCC-02,Substation,MV-CBL-01,500.0,m,2026-08-12,2026-08-18,Delayed,Electrical Lead,Cable pulling tension record and insulation test,Yes
ELE-PS3-CBL-002,WBS-ELE,1.04.04,Electrical,415V Low Voltage Auxiliary Cable Pulling,Pull 415V 4C 70sqmm copper power cables for auxiliary pumps,Pump Station 3,LV-CBL-02,450.0,m,2026-08-18,2026-08-22,Ongoing,Electrical Supervisor,Cable insulation resistance megger check,No
ELE-PS3-TR-005,WBS-ELE,1.04.05,Electrical,Cable Tray Installation Piperack Tier 2,Erection and grounding of 600mm perforated GI cable trays,Piperack PR-01,TR-005,200.0,m,2026-08-14,2026-08-20,Ongoing,Electrical Supervisor,Tray continuity and bonding jumper inspection,No
ELE-PS3-EAR-001,WBS-ELE,1.04.06,Electrical,Earth Pit Grid Installation,"Excavation, copper clad rod driving, and bare copper earth tape grid",Substation Yard,EAR-001,24.0,pits,2026-08-11,2026-08-16,Complete,Electrical QC Inspector,Earth resistance test (< 1.0 Ohm),Yes
ELE-PS3-LGT-002,WBS-ELE,1.04.07,Electrical,High Mast Lighting Wiring & Conduits,Heavy duty GI conduit installation and cabling for lighting poles,Yard Area,LGT-002,6.0,poles,2026-08-19,2026-08-22,Ongoing,Electrical Supervisor,Circuit continuity and earthing check,No
ELE-PS3-SWG-001,WBS-ELE,1.04.08,Electrical,11kV Switchgear Panel Positioning,"Uncrating, visual inspection, and positioning of 11kV vacuum switchgear panels",Substation,SWG-001,8.0,panels,2026-08-15,2026-08-19,Complete,Electrical Engineer,Panel base frame alignment and torqueing,Yes
INS-PS3-JB-001,WBS-INS,1.05.01,Instrumentation,Field Junction Box Installation,Wall and stanchion mounting of SS316 field junction boxes JB-101 to 112,Pump Station 3,JB-101,12.0,ea,2026-08-12,2026-08-16,Complete,Instrumentation Supervisor,Ingress protection (IP66) gasket check,No
INS-PS3-ITR-002,WBS-INS,1.05.02,Instrumentation,Instrument Cable Tray Installation,Installation of 300mm ladder type cable tray with cover,Piperack PR-01,ITR-002,180.0,m,2026-08-13,2026-08-18,Complete,Instrumentation Supervisor,Tray separation from power cables (> 300mm),No
INS-PS3-CBL-004,WBS-INS,1.05.03,Instrumentation,Signal & Thermocouple Cable Pulling,Pull multi-pair screened instrumentation signal cables to control room,Control Room,INS-CBL-04,600.0,m,2026-08-18,2026-08-22,Ongoing,Instrumentation Supervisor,Shield grounding and loop resistance check,No
INS-PS3-PT-021,WBS-INS,1.05.04,Instrumentation,Pressure Transmitter Mounting & Impulse Piping,2-inch pipe stanchion mounting and 1/2-inch SS tubing impulse lines,Pump Station 3,PT-1021,6.0,ea,2026-08-19,2026-08-22,Ongoing,Instrumentation Technician,Impulse tubing pressure test at 1.5x design pressure,Yes
INS-PS3-FT-010,WBS-INS,1.05.05,Instrumentation,Ultrasonic Flowmeter Spool Installation,In-line mounting and transducer fitting for flowmeters FT-201/202,Pump Station 3,FT-201,2.0,ea,2026-08-20,2026-08-22,Ongoing,Instrumentation Engineer,Transducer acoustic signal coupling test,No
INS-PS3-FGS-001,WBS-INS,1.05.06,Instrumentation,Fire & Gas Detector Mounting,Installation of optical flame detectors and toxic gas sensors,Process Area,FGS-001,16.0,ea,2026-08-18,2026-08-22,Not Started,F&G Specialist,Detector cone of vision and sensor zero check,Yes
INS-PS3-CAL-003,WBS-INS,1.05.07,Instrumentation,Control Valve Bench Calibration,Pre-commissioning stroke test and smart positioner calibration,Instrument Workshop,FCV-101,10.0,ea,2026-08-21,2026-08-22,Ongoing,QC Instrument Inspector,"5-point calibration hysterisis check (0, 25, 50, 75, 100%)",Yes
HSE-PS3-IND-001,WBS-HSE,1.06.01,HSE,Daily Site Safety Induction & Toolbox Talks,"Mandatory morning toolbox talks, hazard awareness, and PPE checks",Site Wide,HSE-IND,10.0,days,2026-08-11,2026-08-22,Ongoing,HSE Officer,Toolbox attendance sheet and permit verification,Yes
HSE-PS3-BAR-002,WBS-HSE,1.06.02,HSE,Deep Excavation Hard Barricading,Erection of rigid scaffolding tube barricades and warning signage around trenches,Trench Zone,HSE-BAR,300.0,m,2026-08-11,2026-08-16,Complete,HSE Supervisor,Toe board and 1m handrail stability check,Yes
HSE-PS3-GAS-001,WBS-HSE,1.06.03,HSE,Confined Space Atmospheric Gas Monitoring,"Multi-gas detector air sampling (LEL, O2, H2S, CO) for confined entries",Sump / Trench,HSE-GAS,40.0,checks,2026-08-14,2026-08-22,Ongoing,Certified Gas Tester,"Gas entry permit gas test sign-off (< 10% LEL, 19.5-23.5% O2)",Yes
HSE-PS3-WST-003,WBS-HSE,1.06.04,HSE,Hazardous Chemical Waste Storage & Manifesting,"Safe disposal logging, secondary containment, and waste manifest",Waste Storage,HSE-WST,12.0,bins,2026-08-12,2026-08-21,Ongoing,Environmental Specialist,Spill kit availability and secondary containment integrity,No
HSE-PS3-AUD-001,WBS-HSE,1.06.05,HSE,Weekly Environmental Compliance Audit,"Site spill prevention, erosion control, and environmental inspection audit",Site Wide,HSE-AUD,2.0,audits,2026-08-15,2026-08-22,Ongoing,HSE Manager,Client joint weekly walk inspection,No
